1.386792,3.000000,3.501856,0
1.463203,2.000000,1.853326,1
5.060465,0.265625,3.852905,3
1.324576,1.276923,1.311973,9
2.617886,0.821429,1.672293,12
1.699029,0.892857,1.223253,13
4.597826,1.740741,2.528280,14
2.326531,1.407407,1.507725,15
2.744318,1.095238,1.307204,16
1.580153,0.851852,1.456726,21
1.278261,1.000000,1.249446,23
12.713514,5.333333,42.731460,28
1.740113,1.571429,2.028544,30
1.923077,1.923077,2.343430,31
1.681592,2.000000,2.176335,32
1.432558,1.571429,1.973987,35
1.402597,1.500000,1.884480,36
1.489583,1.692308,1.991199,38
1.451505,2.214286,2.851101,40
1.272727,2.214286,2.518386,41
